Transaction ID,Transaction Date,Account Name,Transaction Description,Transaction Line Description,Amount (One column), ,Debit Amount (Two Column Approach),Credit Amount (Two Column Approach),Other Accounts for this Transaction,Customer,Vendor,Invoice Number,Bill Number,Notes / Memo,Amount Before Sales Tax,Sales Tax Amount,Sales Tax Name,Transaction Date Added,Transaction Date Last Modified,Account Group,Account Type,Account ID
2398965370699402040,2005-09-25,Office Supplies,maxi - Bill 001200,maxi - Bill 001200 - 05624318000,6.50,,6.50,,Accounts Payable,,maxi,,001200,,6.50,,,2025-11-11,2026-03-10,Expense,Operating Expense,
2398965370699402040,2005-09-25,Accounts Payable,maxi - Bill 001200,maxi - Bill 001200,6.50,,,6.50,Office Supplies,,maxi,,001200,,6.50,,,2025-11-11,2026-03-10,Liability,System Payable Bill,
1910625029880564287,2023-12-04,Current Account (910),Starting balance,,0.00,,0.00,,Shareholder Loan,,,,,This transaction represents the account's balance before the transactions imported by Wave.,0.00,,,2024-01-08,2026-01-06,Asset,Cash and Bank,
1910625029880564287,2023-12-04,Shareholder Loan,Starting balance,,0.00,,,0.00,Current Account (910),,,,,This transaction represents the account's balance before the transactions imported by Wave.,0.00,,,2024-01-08,2026-01-06,Liability,Due to You and Other Business Owners,
1910625027120712241,2023-12-05,Current Account (910),Deposit,,-0.00,,,0.00,Shareholder Loan,,,,,,-0.00,,,2024-01-08,2026-01-06,Asset,Cash and Bank,
1910625027120712241,2023-12-05,Shareholder Loan,Deposit,,-0.00,,0.00,,Current Account (910),,,,,,-0.00,,,2024-01-08,2026-01-06,Liability,Due to You and Other Business Owners,
1910625027129100850,2023-12-05,Current Account (910),Deposit,,40.00,,40.00,,Shareholder Loan,,,,,,40.00,,,2024-01-08,2024-03-01,Asset,Cash and Bank,
1910625027129100850,2023-12-05,Shareholder Loan,Deposit,,40.00,,,40.00,Current Account (910),,,,,,40.00,,,2024-01-08,2024-03-01,Liability,Due to You and Other Business Owners,
1910625027103935024,2024-01-01,Current Account (910),Service Charge,,-6.10,,,6.10,Bank Service Charges,,,,,,-6.10,,,2024-01-08,2025-03-31,Asset,Cash and Bank,
1910625027103935024,2024-01-01,Bank Service Charges,Service Charge,,6.10,,6.10,,Current Account (910),,,,,,6.10,,,2024-01-08,2025-03-31,Expense,Operating Expense,
